ComunidadAutonoma,Provincia,NombreAyuntamiento,WebAyuntamiento,SedeElectronica,HttpStatus
Andalucía,Almería,Ayuntamiento de Almeria,https://www.almeriaciudad.es,https://sede.aytoalmeria.es,0
Andalucía,Almería,Ayuntamiento de Antas,https://www.antas.es,https://antas.sedelectronica.es,0
Andalucía,Almería,Ayuntamiento de Carboneras,http://www.ayuntamientocarboneras.es/,,0
Andalucía,Almería,Ayuntamiento de Fiñana,http://www.finana.com/,,403
Andalucía,Almería,Ayuntamiento de María,http://www.villademaria.es,,0
Andalucía,Almería,Ayuntamiento de Mojacar,http://www.mojacar.es/,,0
Andalucía,Almería,Ayuntamiento de Huecija,http://www.huecija.com,https://ov.dipalme.org/TiProceeding/ciudadano?idLogica=loginComponent&fkIdioma=EN&idEntidad=4051&entrada=ciudadano,0
Andalucía,Cádiz,Ayuntamiento de Algodonales,http://www.algodonales.es,,403
Andalucía,Cádiz,Ayuntamiento de Trebujena,http://www.trebujena.com/opencms/opencms/trebujena,http://www.trebujena.com:8085/trebujenaOV/JSP/index.jsp,0
Andalucía,Cádiz,Ayuntamiento de Villaluenga del Rosario,http://www.villaluengadelrosarioweb.org,,0
Andalucía,Córdoba,Ayuntamiento de Alcaracejos,http://www.alcaracejos.net ,,0
Andalucía,Córdoba,Ayuntamiento de Bujalance,http://www.aytobujalance.es ,,0
Andalucía,Córdoba,Ayuntamiento de El Carpio,http://www.ayunelcarpio.es ,,0
Andalucía,Córdoba,Ayuntamiento de Doña Mencía,http://www.donamencia.es ,,0
Andalucía,Córdoba,Ayuntamiento de Espiel,http://www.aytoespiel.com ,,0
Andalucía,Córdoba,Ayuntamiento de Hinojosa del Duque,http://www.hinojosadelduque.es ,,0
Andalucía,Córdoba,Ayuntamiento de Iznájar,http://www.iznajar.es ,,0
Andalucía,Córdoba,Ayuntamiento de Lucena,https://lucena.es,https://sede.eprinsa.es/lucena,403
Andalucía,Córdoba,Ayuntamiento de Moriles,http://www.moriles.es ,,0
Andalucía,Córdoba,Ayuntamiento de Palma del Río,https://www.palmadelrio.es,https://www.palmadelrio.es/inicio/sedes_electronicas,403
Andalucía,Córdoba,Ayuntamiento de Pedro Abad,http://www.aytopedroabad.com ,,0
Andalucía,Córdoba,Ayuntamiento de Posadas,http://www.posadas.es ,,0
Andalucía,Córdoba,Ayuntamiento de Pozoblanco,http://www.pozoblanco.es ,,0
Andalucía,Córdoba,Ayuntamiento de Puente Genil,http://www.aytopuentegenil.es ,,0
Andalucía,Córdoba,Ayuntamiento de Santa Eufemia,http://www.santaeufemia.es ,,0
Andalucía,Córdoba,Ayuntamiento de Torrecampo,http://www.torrecampo.es ,,0
Andalucía,Córdoba,Ayuntamiento de Villa del Río,http://www.villadelrio.org ,,0
Andalucía,Córdoba,Ayuntamiento de Villanueva del Duque,http://www.villanuevadelduque.es,,0
Andalucía,Córdoba,Ayuntamiento de Zuheros,http://www.zuheros.es ,,0
Andalucía,Córdoba,Ayuntamiento de Monturque,http://www.aytomonturque.org ,,0
Andalucía,Córdoba,Ayuntamiento de Villaharta,http://www.villaharta.es ,,0
Andalucía,Córdoba,Ayuntamiento de Villanueva de Córdoba,http://www.villanuevadecordoba.com ,,0
Andalucía,Córdoba,Ayuntamiento de El Viso,http://www.ayto-elviso.com,https://elviso.sedelectronica.es,403
Andalucía,Granada,Ayuntamiento de Albuñuelas,http://www.albuñuelas.es,https://sedealbunuelas.dipgra.es/opencms/opencms/sede,0
Andalucía,Granada,Ayuntamiento de Alhendín,https://alhendin.es,https://alhendin.sedelectronica.es/info.0,0
