ComunidadAutonoma,Provincia,NombreAyuntamiento,WebAyuntamiento,SedeElectronica,HttpStatus
Andalucía,Almería,Ayuntamiento de Almeria,https://www.almeriaciudad.es,https://sede.aytoalmeria.es,"HTTPSConnectionPool(host='www.almeriaciudad.es', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000023066231350>: Failed to resolve 'www.almeriaciudad.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Almería,Ayuntamiento de Antas,https://www.antas.es,https://antas.sedelectronica.es,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Andalucía,Almería,Ayuntamiento de Carboneras,http://www.ayuntamientocarboneras.es/,,"HTTPConnectionPool(host='www.ayuntamientocarboneras.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000230662416D0>: Failed to resolve 'www.ayuntamientocarboneras.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Almería,Ayuntamiento de Fiñana,http://www.finana.com/,,403
Andalucía,Almería,Ayuntamiento de María,http://www.villademaria.es,,"HTTPConnectionPool(host='www.villademaria.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066231710>: Failed to resolve 'www.villademaria.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Almería,Ayuntamiento de Mojacar,http://www.mojacar.es/,,"HTTPSConnectionPool(host='www.mojacar.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Almería,Ayuntamiento de Huecija,http://www.huecija.com,https://ov.dipalme.org/TiProceeding/ciudadano?idLogica=loginComponent&fkIdioma=EN&idEntidad=4051&entrada=ciudadano,"HTTPConnectionPool(host='www.huecija.com', port=80): Read timed out. (read timeout=5)"
Andalucía,Cádiz,Ayuntamiento de Algodonales,http://www.algodonales.es,,403
Andalucía,Cádiz,Ayuntamiento de Trebujena,http://www.trebujena.com/opencms/opencms/trebujena,http://www.trebujena.com:8085/trebujenaOV/JSP/index.jsp,"HTTPConnectionPool(host='www.trebujena.com', port=80): Max retries exceeded with url: /opencms/opencms/trebujena (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002306624CFD0>, 'Connection to www.trebujena.com timed out. (connect timeout=5)'))"
Andalucía,Cádiz,Ayuntamiento de Villaluenga del Rosario,http://www.villaluengadelrosarioweb.org,,"HTTPConnectionPool(host='www.villaluengadelrosarioweb.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624FB10>: Failed to resolve 'www.villaluengadelrosarioweb.org' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Alcaracejos,http://www.alcaracejos.net ,,"HTTPConnectionPool(host='www.alcaracejos.net%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624E110>: Failed to resolve 'www.alcaracejos.net%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Bujalance,http://www.aytobujalance.es ,,"HTTPConnectionPool(host='www.aytobujalance.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000230662333D0>: Failed to resolve 'www.aytobujalance.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de El Carpio,http://www.ayunelcarpio.es ,,"HTTPConnectionPool(host='www.ayunelcarpio.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066240590>: Failed to resolve 'www.ayunelcarpio.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Doña Mencía,http://www.donamencia.es ,,"HTTPConnectionPool(host='www.donamencia.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066240050>: Failed to resolve 'www.donamencia.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Espiel,http://www.aytoespiel.com ,,"HTTPConnectionPool(host='www.aytoespiel.com%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066258DD0>: Failed to resolve 'www.aytoespiel.com%20' ([Errno 11001] getaddrinfo failed)""))"
